YR,CLUB,Runs,Single,Double,Triple,HomeRun,Walk,Strikeout,StolenBase,CaughtStealing
95,NYN,4.5625,6.569444444,1.513888889,0.236111111,0.868055556,3.097222222,6.902777778,0.402777778,0.270833333
95,CIN,5.1875,5.92361111,1.923611111,0.243055556,1.118055556,3.604166667,6.569444444,1.319444444,0.472222222
95,SD,4.638888889,6.791666666,1.604166667,0.138888889,0.805555556,3.104166667,6.055555556,0.861111111,0.319444444
95,HOU,5.1875,7.027777778,1.805555556,0.152777778,0.756944444,3.930555556,6.888888889,1.222222222,0.416666667
95,NYY,5.165517241,6.406896551,1.931034483,0.234482759,0.84137931,4.310344828,5.868965517,0.344827586,0.206896552
95,SEA,5.489655172,6.2,1.903448276,0.137931034,1.255172414,3.786206897,6.006896552,0.75862069,0.282758621
95,CAL,5.524137931,6.393103449,1.737931034,0.172413793,1.282758621,3.889655172,6.131034483,0.393103448,0.268965517
95,MIN,4.881944444,6.763888889,1.875,0.236111111,0.833333333,3.270833333,6.361111111,0.729166667,0.395833333
95,BOS,5.493055556,6.298611111,1.986111111,0.215277778,1.215277778,3.888888889,6.409722222,0.6875,0.305555556
95,CHA,5.206896552,6.772413793,1.737931034,0.255172414,1.006896552,3.972413793,5.289655172,0.75862069,0.268965517
95,COL,5.451388889,6.277777778,1.798611111,0.298611111,1.388888889,3.361111111,6.548611111,0.868055556,0.409722222
95,CLE,5.833333333,6.611111108,1.9375,0.159722222,1.4375,3.763888889,5.319444444,0.916666667,0.368055556
94,SF,4.382608696,5.64347826,1.382608696,0.27826087,1.069565217,3.165217391,6.252173913,0.991304348,0.347826087
94,NY,4.477876106,5.876106194,1.451327434,0.185840708,1.03539823,2.973451327,7.14159292,0.221238938,0.230088496
94,CHN,4.424778761,6.115044248,1.663716814,0.238938053,0.96460177,3.221238938,6.637168142,0.610619469,0.469026549
94,PIT,4.087719298,6.140350877,1.736842105,0.201754386,0.701754386,3.061403509,6.359649123,0.464912281,0.219298246
94,OAK,4.815789474,6.184210526,1.561403509,0.114035088,0.99122807,3.657894737,6.01754386,0.798245614,0.342105263
94,PHI,4.530434783,6.191304348,1.808695652,0.243478261,0.695652174,3.443478261,6.182608696,0.582608696,0.208695652
94,BOS,4.8,5.886956522,1.930434783,0.165217391,1.043478261,3.513043478,6.286956522,0.704347826,0.330434783
94,MIL,4.756521739,5.982608696,2.060869565,0.182608696,0.860869565,3.626086957,5.913043478,0.513043478,0.32173913
94,STL,4.652173913,5.895652173,1.852173913,0.234782609,0.939130435,3.773913043,5.965217391,0.660869565,0.4
94,CAL,4.72173913,6.339130434,1.539130435,0.139130435,1.043478261,3.495652174,6.217391304,0.565217391,0.469565217
94,DET,5.669565217,5.617391304,1.87826087,0.217391304,1.4,4.52173913,7.8,0.4,0.286956522
94,FLA,4.069565217,6.47826087,1.565217391,0.208695652,0.817391304,3.034782609,6.486956522,0.565217391,0.226086957
94,ATL,4.754385965,5.956140351,1.728070175,0.157894737,1.201754386,3.315789474,5.868421053,0.421052632,0.271929825
94,KC,4.991304348,6.104347826,1.834782609,0.330434783,0.869565217,3.269565217,6.069565217,1.217391304,0.539130435
94,SEA,5.080357143,5.919642857,1.883928571,0.160714286,1.366071429,3.321428571,5.821428571,0.428571429,0.1875
94,TOR,4.92173913,6.182608696,1.817391304,0.252173913,1,3.365217391,6.008695652,0.67826087,0.226086957
94,LA,4.695652174,6.573913044,1.443478261,0.252173913,1.017391304,3.226086957,6.008695652,0.643478261,0.32173913
94,BAL,5.258928571,6.276785714,1.651785714,0.178571429,1.241071429,3.910714286,5.848214286,0.616071429,0.116071429
94,COL,4.897435897,6.222222223,1.760683761,0.333333333,1.068376068,3.230769231,6.504273504,0.777777778,0.452991453
94,SD,4.094017094,6.88888889,1.709401709,0.162393162,0.786324786,2.726495726,6.512820513,0.675213675,0.316239316
94,MIN,5.256637168,6.433628318,2.115044248,0.203539823,0.911504425,3.17699115,5.619469027,0.82300885,0.265486726
94,HOU,5.234782609,6.104347826,2.191304348,0.217391304,1.043478261,3.426086957,6.243478261,1.07826087,0.382608696
94,MON,5.131578947,6.377192982,2.157894737,0.263157895,0.947368421,3.324561404,5.868421053,1.201754386,0.315789474
94,TEX,5.377192982,6.710526317,1.736842105,0.236842105,1.087719298,3.833333333,6.403508772,0.719298246,0.307017544
94,CIN,5.295652174,6.704347826,1.834782609,0.313043478,1.07826087,3.373913043,6.417391304,1.034782609,0.443478261
94,CHI,5.601769912,7.061946901,1.548672566,0.345132743,1.07079646,4.398230088,5.026548673,0.681415929,0.238938053
94,CLE,6.008849558,6.530973449,2.123893805,0.17699115,1.477876106,3.380530973,5.566371681,1.150442478,0.424778761
94,NY,5.92920354,6.761061949,2.097345133,0.14159292,1.221238938,4.690265487,5.840707965,0.486725664,0.353982301
